"","Team","Date","Time","Round","Day","Venue","Result","GF","GD","GA","Opponent","xG","xGA","Poss","Captain","Formation","Referee","Sh","SoT","Dist","FK","PK","PKatt","Manager"
"1","ManchesterCity","2023-08-11","20:00","Matchweek 1","Fri","Away","W",3,3,0,"Burnley",1.9,0.3,65,"Kevin De Bruyne","4-2-3-1","Craig Pawson",17,8,13.9,0,0,0,"Pep Guardiola"
"2","ManchesterCity","2023-08-19","20:00","Matchweek 2","Sat","Home","W",1,1,0,"Newcastle Utd",1,0.3,59,"Kyle Walker","4-2-3-1","Robert Jones",14,4,17.9,0,0,0,"Pep Guardiola"
"3","ManchesterCity","2023-08-27","14:00","Matchweek 3","Sun","Away","W",2,1,1,"Sheffield Utd",3.5,0.7,79,"Kyle Walker","4-2-3-1","Jarred Gillett",29,9,17.3,2,0,1,"Pep Guardiola"
"4","ManchesterCity","2023-09-02","15:00","Matchweek 4","Sat","Home","W",5,4,1,"Fulham",2.2,1.4,68,"Kyle Walker","4-2-3-1","Michael Oliver",6,4,14.8,0,1,1,"Pep Guardiola"
"5","ManchesterCity","2023-09-16","15:00","Matchweek 5","Sat","Away","W",3,2,1,"West Ham",3.6,0.9,68,"Kyle Walker","4-2-3-1","Andy Madley",29,13,16.4,1,0,0,"Pep Guardiola"
"6","ManchesterCity","2023-09-23","15:00","Matchweek 6","Sat","Home","W",2,2,0,"Nott'ham Forest",1.3,1,57,"Kyle Walker","4-2-3-1","Anthony Taylor",7,4,17.2,2,0,0,"Pep Guardiola"
"7","ManchesterCity","2023-09-30","15:00","Matchweek 7","Sat","Away","L",1,-1,2,"Wolves",0.9,0.4,68,"Kyle Walker","4-2-3-1","Craig Pawson",23,8,19.3,1,0,0,"Pep Guardiola"
"8","ManchesterCity","2023-10-08","16:30","Matchweek 8","Sun","Away","L",0,-1,1,"Arsenal",0.5,0.4,51,"Kyle Walker","4-3-3","Michael Oliver",4,0,14.9,0,0,0,"Pep Guardiola"
"9","ManchesterCity","2023-10-21","15:00","Matchweek 9","Sat","Home","W",2,1,1,"Brighton",0.8,0.8,55,"Kyle Walker","3-2-4-1","Robert Jones",10,5,18.8,1,0,0,"Pep Guardiola"
"10","ManchesterCity","2023-10-29","15:30","Matchweek 10","Sun","Away","W",3,3,0,"Manchester Utd",4,0.9,60,"Kyle Walker","4-2-3-1","Paul Tierney",20,9,17.2,2,1,1,"Pep Guardiola"
"11","ManchesterCity","2023-11-04","15:00","Matchweek 11","Sat","Home","W",6,5,1,"Bournemouth",1.9,0.9,65,"Kyle Walker","3-4-3","Craig Pawson",21,8,16.4,0,0,0,"Pep Guardiola"
"12","ManchesterCity","2023-11-12","16:30","Matchweek 12","Sun","Away","D",4,0,4,"Chelsea",2.9,2.9,55,"Kyle Walker","3-2-4-1","Anthony Taylor",14,9,16.6,1,1,1,"Pep Guardiola"
"13","ManchesterCity","2023-11-25","12:30","Matchweek 13","Sat","Home","D",1,0,1,"Liverpool",1.3,0.6,59,"Kyle Walker","3-2-4-1","Chris Kavanagh",16,5,16.3,1,0,0,"Pep Guardiola"
"14","ManchesterCity","2023-12-03","16:30","Matchweek 14","Sun","Home","D",3,0,3,"Tottenham",2.6,0.5,55,"Kyle Walker","3-2-4-1","Simon Hooper",17,4,13.4,0,0,0,"Pep Guardiola"
"15","ManchesterCity","2023-12-06","20:15","Matchweek 15","Wed","Away","L",0,-1,1,"Aston Villa",0.6,2.3,54,"Kyle Walker","3-2-4-1","John Brooks",2,2,7.4,0,0,0,"Pep Guardiola"
"16","ManchesterCity","2023-12-10","14:00","Matchweek 16","Sun","Away","W",2,1,1,"Luton Town",1.6,0.3,65,"Kyle Walker","4-2-3-1","Tim Robinson",18,6,18.7,1,0,0,"Pep Guardiola"
"17","ManchesterCity","2023-12-16","15:00","Matchweek 17","Sat","Home","D",2,0,2,"Crystal Palace",1.6,1.8,74,"Kyle Walker","4-2-3-1","Paul Tierney",19,9,18.2,0,0,0,"Pep Guardiola"
